,Name,Price,Rating,Link
48,Motivation- Colouring Book for Adults: Adult Colouring Book for Peace & Relaxation,98,4.5 out of 5 stars,https://www.amazon.in/Motivation-Adult-Colouring-Peace-Relaxation/dp/9387177033/ref=sr_1_49?keywords=books&qid=1669650946&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-49
49,101 Pencil Control Activity Book For Kids: Tracing Practise Book Age 2+,199,4.4 out of 5 stars,https://www.amazon.in/Pencil-Control-Activity-Book-Kids/dp/9354405118/ref=sr_1_50?keywords=books&qid=1669650946&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-50
50,Nationalism,89,4.5 out of 5 stars,https://www.amazon.in/Nationalism-Rabindranath-Tagore/dp/8175993103/ref=sr_1_51?keywords=books&qid=1669650946&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-51
51,"Jumbo Colouring Book - Activity Colouring Book for 3 to 5 years old kids - Gift to children for painting, drawing and colouring with reference guide",100,4.4 out of 5 stars,https://www.amazon.in/Jumbo-Colouring-Book-Maple-Press/dp/9388304608/ref=sr_1_52?keywords=books&qid=1669650946&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-52
52,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty",199,4.6 out of 5 stars,https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=sr_1_53?keywords=books&qid=1669650946&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-53
53,Beginner's Photography Book: An introduction to digital photography and related terminology.,0,5.0 out of 5 stars,https://www.amazon.in/Beginners-Photography-Book-introduction-terminology-ebook/dp/B017GUJC32/ref=sr_1_54?keywords=books&qid=1669650946&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-54
54,Brain Boosting Activity Book for Kids – 200+ Activities for Age 3+,100,4.4 out of 5 stars,https://www.amazon.in/Brain-Boosting-Activity-Book-Kids/dp/9391129668/ref=sr_1_55?keywords=books&qid=1669650946&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-55
55,Learning How to Fly: Life Lessons for the Youth,171,4.7 out of 5 stars,https://www.amazon.in/Learning-How-Fly-Lessons-Youth/dp/8129142155/ref=sr_1_56?keywords=books&qid=1669650946&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-56
56,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Mark Manson Collection Book 1),171,4.5 out of 5 stars,https://www.amazon.in/Subtle-Art-Not-Giving-Counterintuitive-ebook/dp/B019MMUA8S/ref=sr_1_57?keywords=books&qid=1669650946&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-57
57,Balasaheb Shinde - Paripurna Marathi Vyakaran - 3750+ Vastunishtha Prashna - 2022 - 15th Ed.,212,4.3 out of 5 stars,https://www.amazon.in/Balasaheb-Shinde-Paripurna-Vyakaran-Vastunishtha/dp/B09QXG4TGS/ref=sr_1_58?keywords=books&qid=1669650946&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-58
